"year","gdp","income2","population2","input","output","visitor2","inflation2"
1983,24309279705.5731,7598.31203875006,3199300,6905888538.38065,7191771819.13775,NA,7.34107586057345
1984,21665975318.8842,6713.76013104154,3227100,6892046043.76231,7450482215.07829,NA,6.17125347924442
1985,24679795396.4194,7600.56524172937,3247100,7232225063.93862,7759079283.88747,NA,15.4176555719917
1986,30604668356.5695,9427.55394035348,3246300,8152196873.67976,7997993240.38868,NA,13.2133980640021
1987,40376354069.9474,12330.9168305483,3274400,10547199009.5946,9643454038.99722,NA,15.7443007888927
1988,45176811594.2029,13759.1556295922,3283400,11833172302.7375,10034138486.3124,NA,6.37524944411053
1989,43920222524.7085,13312.3855858113,3299200,11573060306.5633,11255844232.704,NA,5.7159915513563
1990,45495129385.0475,13663.0216184298,3329800,12175342138.2896,11758799976.0951,NA,6.09844414810204
1991,42745329732.163,12230.0734548834,3495100,12465113661.9401,10889038937.6547,NA,2.60239285999773
1992,41649829859.6342,11793.1392416214,3531700,12991280306.2527,11679604423.6495,NA,1.01456027171236
1993,46775620817.4327,13094.3454502639,3572200,14314473756.9825,12606603617.0566,NA,1.28820776574386
1994,55314732279.1379,15280.3127842922,3620000,17024848891.8737,15508272788.3265,NA,1.74537790773743
1995,63918703506.9075,17400.4201848172,3673400,18787858660.9989,17590993623.8045,1409000,3.75494413677554
1996,70140835299.0148,18794.436039393,3732000,19884140419.037,18774802275.5654,1529000,2.28571305402195
1997,66075143415.4952,17474.187029724,3781300,18712727731.1984,17791716573.1577,1497000,1.18714833105632
1998,56227169851.0448,14738.4455703918,3815000,16652981735.8808,15900310542.6601,1485000,1.26524409915406
1999,58762260625.8758,15322.2238340267,3835100,18187243759.4063,17893507706.6791,1607000,-0.114267129777524
2000,52623281956.7031,13641.1027183822,3857700,18810433407.9831,17245422210.5125,1787000,2.6152344624632
2001,53872425916.6248,13882.8568268586,3880500,19087560689.7706,17132931525.1967,1909000,2.62581630392903
2002,66627729311.4495,16874.1874918196,3948500,21885258021.5881,19861008428.2123,2045000,2.67709257711605
2003,88250885550.2626,21913.7081719961,4027200,26333821912.7886,24776474899.2305,2104000,1.75357444759557
2004,103905210084.034,25420.234882944,4087500,30697142857.1429,30398655462.1849,2334000,2.29024902847571
2005,114720129550.095,27751.0654708859,4133900,32448778427.0929,34110399211.4342,2366000,3.03702332617012
2006,111538810712.665,26654.5932018985,4184600,33025095648.7906,33455677323.1308,2409000,3.36540196171993
2007,137188946865.584,32479.9817381467,4223800,40159476739.9133,39993385757.3308,2455000,2.37614310290659
2008,133131369930.414,31252.9625640673,4259800,42706825050.9594,43041400154.6356,2483000,3.9589493731206
2009,121373602348.679,28209.3623271229,4302600,34875382597.289,32056967955.525,2473000,2.1156511055456
2010,146517541181.254,33676.7741239925,4350700,44356174905.2179,40992659830.9386,2530000,2.30202385958572
2011,168295307149.46,38388.5280906616,4384000,51152198481.9997,48544383578.4633,2617000,4.0279066739204
2012,176210710655.208,39974.2997334925,4408100,50852168174.6844,49626355944.3639,2574000,1.05991318445632
2013,190909855416.34,42977.388040868,4442100,55007020974.9542,51933398298.9728,2710000,1.13442266445817
2014,201337554959.49,44578.2253868016,4516500,56333268810.663,54700660896.4966,2854000,1.227507505974
2015,178104220784.881,38639.3501941427,4609400,49784689412.298,47973639707.8052,3129000,0.292704628136101
2016,188898209220.167,40070.8956577431,4714100,50322131532.6917,48778127773.6204,3494000,0.646240284454524
2017,206566916732.292,42913.186956185,4813600,56986304614.2734,54952779636.3293,3723000,1.85078767452536
2018,211846555690.736,43228.6976473771,4900600,59071100322.3185,59137524433.3483,3858000,1.59829703801696
2019,212846907683.439,42747.2099299966,4979200,58214279832.002,57711603392.9013,3888000,1.61963190184048
2020,212697530897.56,41785.6922905898,5090200,46216150491.4978,47332839765.0337,996000,1.71456170007245
2021,253644079784.977,49624.1816729553,5111300,56657235818.3619,66486065921.6297,NA,3.94112060778728
2022,246733522841.353,48216.5095836302,5117200,60190212509.6428,73260348088.8928,NA,7.17222476016441
